"A & B MANAGEMENT, INC",Refreshments,7/7/09,859.08
"A & B MANAGEMENT, INC",Refreshments,7/14/09,"5,564.44"
"A & B MANAGEMENT, INC",Refreshments,7/14/09,539.78
"A & B MANAGEMENT, INC",Refreshments,7/23/09,514.02
"A & B MANAGEMENT, INC",Refreshments,7/28/09,448.17
"A & B MANAGEMENT, INC",Refreshments,8/13/09,368.92
"A & B MANAGEMENT, INC",Official Functions,8/25/09,"8,520.46"
A & E,Departmental Supplies,11/13/08,30.9
A & E,Information Technology Supplies,12/23/08,38.9
A & E,Information Technology Supplies,12/23/08,99.8
A & E,Information Technology Supplies,12/23/08,49.9
A & E LRC,Supplies-Audio-Visual,1/8/09,30.9
A & E LRC,Supplies-Audio-Visual,4/9/09,46.85
A & L ENGINEERING AND CONSULTI,Renov Architects & Engrs,10/16/08,"3,187.50"
A & L ENGINEERING AND CONSULTI,Renov Architects & Engrs,4/7/09,"1,227.50"
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,9/4/08,105.41
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,12/9/08,31.42
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,1/27/09,137.58
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,3/12/09,144.4
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,5/14/09,13.55
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,5/14/09,28.94
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,5/14/09,119.92
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,5/21/09,159.23
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,6/4/09,73.75
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,8/18/09,32.52
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,8/20/09,95.76
A BETTER ANSWER INC,Other Contracted Svces/Labor,9/4/08,"3,805.03"
A BETTER ANSWER INC,Other Contracted Svces/Labor,10/14/08,"2,316.39"
A BETTER ANSWER INC,Other Contracted Svces/Labor,10/28/08,"1,599.31"
A BETTER ANSWER INC,Other Contracted Svces/Labor,11/26/08,"1,574.55"
A BETTER ANSWER INC,Other Contracted Svces/Labor,12/16/08,"1,713.46"
A BETTER ANSWER INC,Other Contracted Svces/Labor,1/21/09,"1,580.39"
A BETTER ANSWER INC,Other Contracted Svces/Labor,2/12/09,"2,006.57"
A BETTER ANSWER INC,Other Contracted Svces/Labor,3/12/09,963.89
A BETTER ANSWER INC,Other Contracted Svces/Labor,4/9/09,922.62
A BETTER ANSWER INC,Other Contracted Svces/Labor,5/12/09,"1,335.81"
A BETTER ANSWER INC,Other Contracted Svces/Labor,5/14/09,"1,202.23"
A BETTER ANSWER INC,Other Contracted Svces/Labor,6/4/09,"2,490.64"
A BETTER ANSWER INC,Other Contracted Svces/Labor,7/21/09,"2,078.28"
A BETTER ANSWER INC,Other Contracted Svces/Labor,7/30/09,"2,023.08"
A BETTER ANSWER INC,Other Contracted Svces/Labor,8/28/09,"2,568.13"
A COMPLIANT FREE WORLD,Classroom Supplies,7/30/09,34.9
A DAIGGER & CO INC,Classroom Supplies,12/23/08,225
A DAIGGER & CO INC,Classroom Supplies,1/8/09,"1,176.29"
A DAIGGER & CO INC,Classroom Supplies,3/31/09,"1,002.92"
A DAIGGER & CO INC,Classroom Supplies,4/23/09,923.7
A DAIGGER & CO INC,Minor Equipment,7/2/09,"1,431.41"
A DAIGGER & CO INC,Non-Inv Furniture,8/4/09,"1,480.00"
A DAIGGER & CO INC,Non-Inv Equipment,8/6/09,162
A DAIGGER & CO INC,Non-Inv Equipment,8/6/09,"1,136.00"
A DAIGGER & CO INC,Non-Inv Equipment,8/13/09,176
A DAIGGER & CO INC,Non-Inv Equipment,8/13/09,93
A DAIGGER & CO INC,Non-Inv Equipment,8/13/09,"2,400.00"
A DAIGGER & CO INC,Classroom Supplies,8/18/09,53.25
A DAIGGER & CO INC,Classroom Supplies,8/18/09,47
A DAIGGER & CO INC,Classroom Supplies,8/20/09,596
A DAIGGER & CO INC,Classroom Supplies,8/20/09,100
A DAIGGER & CO INC,Non-Inv Equipment,8/28/09,590
A DAIGGER & CO INC,Non-Inv Equipment,8/28/09,"1,400.00"
A DAIGGER & CO INC,Non-Inv Equipment,8/28/09,"2,500.00"
A DAIGGER & CO INC,Non-Inv Equipment,8/28/09,325.3
A TOUCH OF HEAVEN FLORAL DESIG,Official Functions,9/4/08,35
A TOUCH OF HEAVEN FLORAL DESIG,Official Functions,9/4/08,296
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,11/13/08,346
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,1/13/09,156.5
A TOUCH OF HEAVEN FLORAL DESIG,Official Functions,2/10/09,60
A TOUCH OF HEAVEN FLORAL DESIG,Official Functions,2/10/09,61.5
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,2/26/09,234.5
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,4/21/09,61.5
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,5/5/09,161.5
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,6/9/09,61.5
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,8/13/09,61.5
A VERY SPECIAL DAY,Guest Lecturer/Performer,10/7/08,490
A W HARRIS FACULTY CENTER,Official Functions,9/4/08,541.25
A W HARRIS FACULTY CENTER,Official Functions,7/28/09,525
A&B SUPPLY INC,Departmental Supplies,9/18/08,97.91
A&B SUPPLY INC,Departmental Supplies,10/9/08,7.98
A&B SUPPLY INC,Departmental Supplies,11/11/08,5.49
